seed,name,n,p,p_rec,dom,mesh
900013,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s89051603g0
900013,proc_on_host,1,0.0,0.0,9:shove-cap,s89051603g0
900014,car_best_host,3,1.0,1.0,3:light-recovery-success,s1631463350g0
900014,proc_on_host,1,0.0,0.0,9:shove-cap,s1631463350g0
900015,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s1188724579g0
900015,proc_on_host,1,0.0,0.0,5:shove-fight,s1188724579g0
900016,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1655387862g0
900016,proc_on_host,1,1.0,1.0,3:light-recovery-success,s1655387862g0
900017,car_best_host,3,1.0,0.0,5:shove-fight,s2063245862g0
900017,proc_on_host,1,1.0,0.0,5:shove-fight,s2063245862g0
900018,car_best_host,3,1.0,0.0,5:shove-fight,s857688274g0
900018,proc_on_host,1,1.0,0.0,5:shove-fight,s857688274g0
900019,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1894111997g0
900019,proc_on_host,1,0.0,0.0,5:shove-fight,s1894111997g0
900020,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s8844972g0
900020,proc_on_host,1,0.0,0.0,10:proximal-thrash,s8844972g0
900021,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1905292856g0
900021,proc_on_host,1,0.0,0.0,5:shove-fight,s1905292856g0
900022,car_best_host,3,1.0,0.0,5:shove-fight,s994316221g0
900022,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s994316221g0
900023,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1807589001g0
900023,proc_on_host,1,1.0,1.0,3:light-recovery-success,s1807589001g0
900024,car_best_host,3,1.0,1.0,3:light-recovery-success,s1347551054g0
900024,proc_on_host,1,0.0,0.0,10:proximal-thrash,s1347551054g0
900025,car_best_host,3,1.0,0.0,5:shove-fight,s823409318g0
900025,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s823409318g0
900026,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s120813388g0
900026,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s120813388g0
900027,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s54421594g0
900027,proc_on_host,1,0.0,0.0,9:shove-cap,s54421594g0
900028,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1817049148g0
900028,proc_on_host,1,0.0,0.0,7:midpath-thrash,s1817049148g0
900029,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s779366404g0
900029,proc_on_host,1,0.0,0.0,10:proximal-thrash,s779366404g0
900030,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s487386244g0
900030,proc_on_host,1,0.0,0.0,10:proximal-thrash,s487386244g0
900031,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s47544376g0
900031,proc_on_host,1,0.0,0.0,9:shove-cap,s47544376g0
900032,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1955884022g0
900032,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s1955884022g0
900033,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s820931024g0
900033,proc_on_host,1,0.0,0.0,9:shove-cap,s820931024g0
900034,car_best_host,3,1.0,0.0,5:shove-fight,s2025016814g0
900034,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s2025016814g0
900035,car_best_host,3,0.6666666666666666,0.0,5:shove-fight,s1887051287g0
900035,proc_on_host,1,0.0,0.0,10:proximal-thrash,s1887051287g0
900036,car_best_host,3,1.0,0.0,5:shove-fight,s719222618g0
