seed,car_best_host,proc_on_host,succ_phase,fail_phase,rec_share,cathled_share,medT,mesh,cls,min_strong,spread_strong
900077,0.3333333333333333,0.0,deep-recovery,doorstep-stall,1.0,0.0,601.0,s1097759322g0,frontier,0.3333333333333333,0.0
900090,0.3333333333333333,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,601.0,s1284136373g0,frontier,0.3333333333333333,0.0
900009,0.6666666666666666,0.0,fight-escaped-near,doorstep-stall,0.5,0.0,514.5,s262217262g0,frontier,0.6666666666666666,0.0
900012,0.6666666666666666,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,403.5,s324135477g0,frontier,0.6666666666666666,0.0
900035,0.6666666666666666,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,490.5,s1887051287g0,frontier,0.6666666666666666,0.0
900039,0.6666666666666666,0.0,cath-led-run,doorstep-stall,0.5,0.5,345.5,s202265828g0,frontier,0.6666666666666666,0.0
900048,0.6666666666666666,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,493.5,s1268534349g0,frontier,0.6666666666666666,0.0
900053,0.6666666666666666,0.0,fight-escaped-near,fight-escaped-near,1.0,0.0,462.0,s666874983g0,frontier,0.6666666666666666,0.0
900061,0.6666666666666666,1.0,deep-recovery,shove-capped,1.0,0.0,89.0,s1357272110g0,frontier,0.6666666666666666,0.0
900068,0.6666666666666666,0.0,free-run,doorstep-stall,0.5,0.0,405.0,s871533636g0,frontier,0.6666666666666666,0.0
900074,0.6666666666666666,0.0,fight-escaped-near,doorstep-stall,1.0,0.0,418.5,s704111850g0,frontier,0.6666666666666666,0.0
900076,0.6666666666666666,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,446.0,s160821144g0,frontier,0.6666666666666666,0.0
900089,0.6666666666666666,0.0,fight-escaped-near,doorstep-stall,1.0,0.0,421.5,s501147810g0,frontier,0.6666666666666666,0.0
900094,0.6666666666666666,1.0,fight-escaped-near,stuck-midpath,0.6666666666666666,0.3333333333333333,188.5,s1097265140g0,frontier,0.6666666666666666,0.0
900001,1.0,0.0,fight-escaped-near,cath-led-run,1.0,0.0,290.0,s1563758547g0,strength,1.0,0.0
900005,1.0,0.0,deep-recovery,stuck-midpath,1.0,0.0,549.0,s56786124g0,strength,1.0,0.0
900007,1.0,0.0,light-recovery,stuck-midpath,0.6666666666666666,0.0,189.5,s1875621913g0,strength,1.0,0.0
900013,1.0,0.0,light-recovery,stuck-midpath,1.0,0.0,373.5,s89051603g0,strength,1.0,0.0
900014,1.0,0.0,light-recovery,stuck-midpath,1.0,0.0,118.0,s1631463350g0,strength,1.0,0.0
900015,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,237.0,s1188724579g0,strength,1.0,0.0
900019,1.0,0.0,fight-escaped-near,deep-recovery,1.0,0.0,314.0,s1894111997g0,strength,1.0,0.0
900020,1.0,0.0,fight-escaped-near,cath-led-run,1.0,0.0,265.0,s8844972g0,strength,1.0,0.0
900021,1.0,0.0,light-recovery,stuck-midpath,0.6666666666666666,0.0,172.5,s1905292856g0,strength,1.0,0.0
900024,1.0,0.0,fight-escaped-near,stuck-midpath,1.0,0.0,217.5,s1347551054g0,strength,1.0,0.0
900027,1.0,0.0,fight-escaped-near,stuck-midpath,0.6666666666666666,0.3333333333333333,204.0,s54421594g0,strength,1.0,0.0
900028,1.0,0.0,light-recovery,stuck-midpath,0.6666666666666666,0.0,128.5,s1817049148g0,strength,1.0,0.0
