name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
proc_on_host,1,900019,s1894111997g0,601,deep-recovery,5:shove-fight,0.456,0.469,567,480,0.591,100.969,19.003,1,0,22.152,8.261,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900019_s1894111997g0_pid165_ep0.npz
proc_on_host,1,900020,s8844972g0,601,cath-led-run,10:proximal-thrash,0.161,0.181,302,2,0.027,10.672,3.024,0,0,20.919,6.074,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900020_s8844972g0_pid206_ep5.npz
proc_on_host,1,900021,s1905292856g0,601,stuck-midpath,5:shove-fight,0.581,0.583,325,318,0.692,137.918,23.025,3,1,37.689,7.535,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900021_s1905292856g0_pid206_ep4.npz
proc_on_host,1,900024,s1347551054g0,601,stuck-midpath,10:proximal-thrash,0.24,0.399,76,274,0.205,27.012,8.022,1,1,-31.589,7.839,2.828,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900024_s1347551054g0_pid206_ep1.npz
proc_on_host,1,900027,s54421594g0,601,stuck-midpath,9:shove-cap,0.606,0.636,168,347,0.712,218.768,50.009,2,1,45.986,8.33,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900027_s54421594g0_pid247_ep4.npz
proc_on_host,1,900028,s1817049148g0,601,stuck-midpath,7:midpath-thrash,0.252,0.408,53,123,0.502,146.602,63.155,1,1,55.347,16.349,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900028_s1817049148g0_pid247_ep3.npz
proc_on_host,1,900029,s779366404g0,601,cath-led-run,10:proximal-thrash,0.158,0.184,239,4,0.012,11.75,3.024,0,0,18.839,6.179,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900029_s779366404g0_pid247_ep2.npz
proc_on_host,1,900030,s487386244g0,601,cath-led-run,10:proximal-thrash,0.181,0.238,362,240,0.108,6.649,3.022,0,0,5.967,9.436,0.9,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900030_s487386244g0_pid247_ep1.npz
proc_on_host,1,900031,s47544376g0,601,stuck-midpath,9:shove-cap,0.623,0.642,40,326,0.734,242.893,50.016,1,1,45.89,8.245,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900031_s47544376g0_pid247_ep0.npz
proc_on_host,1,900033,s820931024g0,601,stuck-midpath,9:shove-cap,0.561,0.572,55,406,0.696,180.954,54.009,1,1,41.549,7.9,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900033_s820931024g0_pid288_ep4.npz
