png,tag,pid,ep,old_cluster,new_cluster,n_match,success,steps,new_name
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\success\ep004_pid3113_step506_R+4.46_success.png,car_v3,3113,4,5,5,1,True,506,5:shove-fight
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_194618_rcca_procedural_v3c2/diagnostics/snapshots/explore/RCCA\max_steps\ep013_pid15283_step600_R-1.33_max_steps.png,v3c2,15283,13,5,5,1,False,600,5:shove-fight
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/diagnostics/snapshots/explore/RCCA\max_steps\ep013_pid426_step600_R-0.43_max_steps.png,tb_v2,426,13,5,5,1,False,600,5:shove-fight
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-25_000146_rcca_procedural_v3c3/diagnostics/snapshots/explore/RCCA\max_steps\ep028_pid1766_step600_R-2.87_max_steps.png,v3c3,1766,28,5,5,1,False,600,5:shove-fight
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep084_pid4611_step600_R-2.14_max_steps.png,car_v3,4611,84,5,5,1,False,600,5:shove-fight
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/diagnostics/snapshots/explore/RCCA\max_steps\ep013_pid2266_step600_R-1.50_max_steps.png,tb_v2,2266,13,6,6,1,False,600,6:near-buckle-fight
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_194618_rcca_procedural_v3c2/diagnostics/snapshots/explore/RCCA\max_steps\ep001_pid25124_step600_R-3.61_max_steps.png,v3c2,25124,1,6,6,1,False,600,6:near-buckle-fight
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/diagnostics/snapshots/explore/RCCA\max_steps\ep043_pid7071_step600_R-1.86_max_steps.png,car_nopriv,7071,43,6,6,1,False,600,6:near-buckle-fight
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-01_163054_rcca_topbrain_repl/diagnostics/snapshots/explore/RCCA\max_steps\ep094_pid2629_step600_R-0.22_max_steps.png,tb_repl,2629,94,6,6,1,False,600,6:near-buckle-fight
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep007_pid3120_step600_R-1.08_max_steps.png,car_v3a,3120,7,6,6,1,False,600,6:near-buckle-fight
