tag,win,n,ex_succ,next_succ,prev_succ,med_steps,rec_share,rec_share_of_succ,coil,shove,thrash,near,far,fail_coil,fail_thrash,fail_shove,fail_near
car_v3,6,896.0,84.15178571428571,97.95918367346938,91.83673469387756,135.0,25.223214285714285,28.647214854111407,0.0,1.3392857142857142,25.33482142857143,1.0044642857142858,0.0,0.0,82.3943661971831,4.929577464788732,5.633802816901409
car_v3a,1,782.0,63.04347826086957,82.6530612244898,50.0,348.0,35.933503836317136,48.275862068965516,5.498721227621484,21.483375959079286,5.3708439897698215,2.1739130434782608,0.0,14.53287197231834,14.186851211072666,51.21107266435986,5.190311418685121
car_v3a,2,597.0,34.84087102177554,67.3469387755102,82.6530612244898,600.0,9.715242881072026,26.923076923076923,0.8375209380234505,10.552763819095476,55.61139028475712,1.8425460636515913,0.0,1.2853470437017995,84.06169665809769,11.311053984575835,2.827763496143959
tb_repl,1,2164.0,97.82809611829944,97.95918367346938,68.36734693877551,79.0,10.44362292051756,10.108644307982996,0.04621072088724584,0.9242144177449169,0.878003696857671,0.6469500924214419,0.0,2.127659574468085,38.297872340425535,17.02127659574468,17.02127659574468
tb_repl,2,2082.0,92.89145052833814,97.95918367346938,97.95918367346938,84.0,6.388088376560999,6.8252326783867625,0.09606147934678194,2.97790585975024,3.121998078770413,1.248799231508165,0.0,1.3513513513513513,43.24324324324324,39.86486486486486,14.864864864864865
tb_repl,3,2306.0,97.87510841283607,100.0,97.95918367346938,89.0,4.986990459670425,5.006645990252548,0.08673026886383348,1.6045099739809192,0.0,0.823937554206418,0.0,4.081632653061225,0.0,59.183673469387756,32.6530612244898
tb_v1r2,1,2086.0,97.17162032598274,100.0,59.183673469387756,79.0,12.416107382550337,11.346817957572767,0.19175455417066153,0.4314477468839885,0.9108341323106425,0.5273250239693192,0.0,6.779661016949152,27.11864406779661,8.47457627118644,8.47457627118644
tb_v1r2,2,2251.0,96.7125721901377,97.95918367346938,100.0,84.0,3.3762772101288316,3.491042719338539,0.7996446023989338,0.26654820079964464,0.3998223011994669,2.665482007996446,0.0,22.972972972972975,6.756756756756757,6.756756756756757,63.51351351351351
tb_v1r2,3,2050.0,95.36585365853658,96.73913043478261,97.95918367346938,89.0,3.8536585365853657,3.989769820971867,0.975609756097561,0.3902439024390244,0.04878048780487805,3.902439024390244,0.0,20.0,1.0526315789473684,5.263157894736842,72.63157894736842
tb_v1r2,4,2289.0,97.33508082131935,95.78947368421052,96.73913043478261,90.0,3.669724770642202,3.7701974865350087,0.7863695937090431,0.218435998252512,0.0,2.2280471821756227,0.0,27.86885245901639,0.0,8.19672131147541,63.934426229508205
