utc,update_step,explore_step,alpha,entropy_proxy,clamp_fraction,log_pi_std,log_pi_mean,q1_mean,q1_loss,policy_loss,grad_norm_policy,awac_weight_mean,awac_weight_max,awac_weight_saturation,target_q_mean,log_alpha,kl_to_warmstart,alpha_kl
07-12 04:21:06,80000,194850,4.539993096841499e-05,2.397536277770996,0.015625,0.9497743248939514,-2.397536277770996,-1.685474157333374,0.001959367422387,0.7749253511428833,0.3149686145731943,0.995639145374298,1.2667828798294067,0.0,-1.692345142364502,-10.0,,
07-12 04:27:27,85000,207261,4.539993096841499e-05,2.508087635040283,0.009765625,0.9508135914802552,-2.508087635040283,-1.6610491275787354,0.0063090776093304,2.092648267745972,0.998656520877196,0.994160294532776,1.226414442062378,0.0,-1.6521759033203125,-10.0,,
07-12 04:33:37,90000,220874,4.539993096841499e-05,2.294576406478882,0.013671875,1.038163661956787,-2.294576406478882,-1.66878342628479,0.0063683181069791,1.1372429132461548,0.5658151326753784,1.005984663963318,1.266292691230774,0.0,-1.7006187438964844,-10.0,,
07-12 04:36:48,95000,224474,4.539993096841499e-05,2.408853054046631,0.01171875,1.1821345090866089,-2.408853054046631,-1.6895484924316406,0.0023599667474627,0.824749231338501,0.382110642530932,0.9989955425262452,1.2538464069366455,0.0,-1.6746208667755127,-10.0,,
07-12 04:43:30,100000,233702,4.539993096841499e-05,2.251099109649658,0.015625,1.149181604385376,-2.251099109649658,-1.7698339223861694,0.0039839604869484,1.6602660417556765,0.8630781191564123,1.0027947425842283,1.1773761510849,0.0,-1.7911348342895508,-10.0,,
07-12 04:50:00,105000,243084,4.539993096841499e-05,2.316676616668701,0.0126953125,1.1036376953125,-2.316676616668701,-1.8633549213409424,0.0094137173146009,2.0534818172454834,1.0583923463820075,1.0089516639709473,1.862077116966248,0.0,-1.8926782608032229,-10.0,,
07-12 04:56:22,110000,254054,4.539993096841499e-05,2.1580958366394043,0.0205078125,1.228176236152649,-2.1580958366394043,-1.7780848741531372,0.004130165092647,1.38825523853302,0.7831647411909021,1.0043517351150513,1.2208518981933594,0.0,-1.7554535865783691,-10.0,,
07-12 05:02:52,115000,265086,4.539993096841499e-05,2.123969078063965,0.01171875,1.2439414262771606,-2.123969078063965,-1.9685213565826416,0.003157140687108,1.2998604774475098,0.8751419051347263,0.9989174604415894,1.2532745599746704,0.0,-1.9618171453475952,-10.0,,
07-12 05:08:21,120000,278345,4.539993096841499e-05,2.1855037212371826,0.01953125,1.2961106300354004,-2.1855037212371826,-1.7545896768569946,0.0049523436464369,1.6263819932937622,1.0329778820435906,1.0002182722091677,1.3252159357070925,0.0,-1.742598056793213,-10.0,,
07-12 05:40:36,125000,279948,4.539993096841499e-05,2.155258655548096,0.0224609375,1.2822630405426023,-2.155258655548096,-1.9941672086715696,0.0056664329022169,1.7092514038085938,0.9988550549186984,0.9977930784225464,1.2827576398849487,0.0,-1.9987223148345947,-10.0,,
07-12 05:47:09,130000,294499,4.539993096841499e-05,1.8563854694366453,0.0263671875,1.548661231994629,-1.8563854694366453,-1.8165955543518064,0.0059872274287045,1.6444026231765747,1.0753666854924453,1.0016387701034546,1.6330398321151731,0.0,-1.814183473587036,-10.0,,
07-12 05:53:43,135000,304817,4.539993096841499e-05,1.9075103998184204,0.021484375,1.6082144975662231,-1.9075103998184204,-1.8647750616073608,0.0056617399677634,1.4878504276275637,1.0912003417594265,1.0006661415100098,1.349682331085205,0.0,-1.8757662773132324,-10.0,,
07-12 06:00:13,140000,314215,4.539993096841499e-05,2.08556866645813,0.025390625,1.4229271411895752,-2.08556866645813,-1.9922738075256348,0.0076808491721749,2.229613780975342,1.5120561215120336,1.001577377319336,1.1907691955566406,0.0,-1.9816527366638184,-10.0,,
07-12 06:05:45,145000,326815,4.539993096841499e-05,1.8468406200408936,0.02734375,1.8087952136993408,-1.8468406200408936,-2.023240327835083,0.0045530823990702,1.624337911605835,1.2055628938375198,0.9989027976989746,1.232058882713318,0.0,-2.0218939781188965,-10.0,,
07-12 06:09:35,150000,326872,4.539993096841499e-05,1.8648266792297363,0.025390625,1.767852783203125,-1.8648266792297363,-2.0678985118865967,0.0059965262189507,2.0213499069213867,1.41815157896565,1.0016710758209229,1.307672381401062,0.0,-2.0508720874786377,-10.0,,
07-12 06:16:12,155000,335015,4.539993096841499e-05,1.769665002822876,0.033203125,1.7959812879562378,-1.769665002822876,-2.064492702484131,0.0064475932158529,2.330638885498047,1.8005710009271385,1.0031163692474363,1.2768800258636477,0.0,-2.0777788162231445,-10.0,,
07-12 06:22:48,160000,345800,4.539993096841499e-05,1.6473793983459473,0.029296875,1.9451024532318115,-1.6473793983459473,-1.946830153465271,0.0053768963553011,1.23027241230011,0.8718938174538752,0.9957647919654846,1.2199294567108154,0.0,-1.9476677179336548,-10.0,,
07-12 06:29:18,165000,356194,4.539993096841499e-05,1.7433933019638062,0.03125,1.8170589208602903,-1.7433933019638062,-2.0883948802948,0.0067909928038716,1.3998147249221802,1.0945270753195842,1.0006260871887207,1.1842756271362305,0.0,-2.092043399810791,-10.0,,
07-12 06:35:46,170000,363169,4.539993096841499e-05,1.4430153369903564,0.033203125,2.089994192123413,-1.4430153369903564,-2.1603240966796875,0.0050157196819782,1.443924069404602,1.0245685056372948,0.9968337416648864,1.2107938528060913,0.0,-2.1795973777771,-10.0,,
07-12 06:41:31,175000,371794,4.539993096841499e-05,1.46806538105011,0.0419921875,2.378693103790283,-1.46806538105011,-2.272808074951172,0.006927222944796,1.6545225381851196,1.263734088019284,1.003795862197876,1.471346139907837,0.0,-2.278501033782959,-10.0,,
07-12 06:48:06,180000,379538,4.539993096841499e-05,1.2260947227478027,0.0478515625,2.7808752059936523,-1.2260947227478027,-2.527803897857666,0.0096425227820873,1.8085370063781736,1.5219057912445524,1.002145528793335,1.2561628818511963,0.0,-2.516493558883667,-10.0,,
