seq	wall	pid	ep	final_branch	reason	is_clean	gsucc	ret	steps
1183	1783846129.482379	1751	22	RCCA	max_steps	1	0	-1.9243	600
1184	1783846136.315784	2235	2	RCCA	max_steps	1	0	-5.1028	600
1185	1783846138.236852	2277	2	RCCA	max_steps	1	0	-1.4617	600
1186	1783846138.266602	236	67	RCCA	max_steps	0	0	-3.2385	600
1187	1783846140.166990	1661	27	RCCA	max_steps	1	0	-13.4179	600
1188	1783846140.175291	2319	3	RCCA	max_steps	1	0	-2.7651	600
1189	1783846165.740073	1218	47	RCCA	max_steps	0	0	-4.2597	600
1190	1783846167.508899	236	68	RCCA	success	1	1	4.4633	63
1191	1783846185.371678	2361	3	RCCA	max_steps	1	0	-0.9856	600
1192	1783846194.871332	2108	3	RCCA	success	1	1	4.7699	190
1193	1783846225.090349	1218	48	RCCA	success	1	1	4.5177	100
1194	1783846249.812388	2066	3	RCCA	max_steps	1	0	-1.4728	600
1195	1783846253.032118	2151	2	RCCA	max_steps	1	0	-2.7228	600
1196	1783846272.969190	1427	34	RCCA	max_steps	1	0	-1.5123	600
1197	1783846273.077762	2361	4	RCCA	success	1	1	5.0409	180
1198	1783846298.853302	2151	3	RCCA	success	1	1	4.4522	100
1199	1783846338.826209	2193	4	RCCA	max_steps	1	0	-2.8457	600
1200	1783846350.979941	2001	12	RCCA	max_steps	1	0	-1.6353	600
1201	1783846355.607769	1427	35	RCCA	success	1	1	4.9797	168
1202	1783846358.577518	2277	3	RCCA	success	1	1	4.6788	448
1203	1783846372.825203	2193	5	RCCA	success	1	1	4.5501	81
1204	1783846384.551318	1793	22	RCCA	max_steps	1	0	-1.6411	600
1205	1783846402.626371	2235	3	RCCA	max_steps	1	0	-4.3723	600
1206	1783846420.452995	2319	4	RCCA	max_steps	1	0	-2.4846	600
1207	1783846433.286652	1661	28	RVA	max_steps	0	0	-4.6784	600
1208	1783846434.185735	616	65	RVA	max_steps	0	0	-15.0846	600
1209	1783846434.807191	1427	36	RCCA	success	1	1	4.7784	167
