seed,name,n,p,p_rec,dom,mesh
900027,abl_best_host,1,1.0,0.0,1:clean-fast-success,s54421594g0
900027,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s54421594g0
900027,tbv2_best_host,3,0.6666666666666666,0.0,6:near-buckle-fight,s54421594g0
900027,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s54421594g0
900028,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1817049148g0
900028,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1817049148g0
900028,tbv2_best_host,3,0.6666666666666666,0.3333333333333333,6:near-buckle-fight,s1817049148g0
900028,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s1817049148g0
900029,abl_best_host,1,0.0,0.0,6:near-buckle-fight,s779366404g0
900029,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s779366404g0
900029,tbv2_best_host,3,0.0,0.0,6:near-buckle-fight,s779366404g0
900029,tbv3_ref_host,1,0.0,0.0,4:deep-recovery-success,s779366404g0
900030,abl_best_host,1,1.0,1.0,3:light-recovery-success,s487386244g0
900030,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s487386244g0
900030,tbv2_best_host,3,0.6666666666666666,0.6666666666666666,8:mega-coil,s487386244g0
900030,tbv3_ref_host,1,0.0,0.0,6:near-buckle-fight,s487386244g0
900031,abl_best_host,1,1.0,1.0,3:light-recovery-success,s47544376g0
900031,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s47544376g0
900031,tbv2_best_host,3,1.0,0.3333333333333333,6:near-buckle-fight,s47544376g0
900031,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s47544376g0
900032,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1955884022g0
900033,abl_best_host,1,1.0,0.0,1:clean-fast-success,s820931024g0
900033,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s820931024g0
900033,tbv2_best_host,3,1.0,0.3333333333333333,1:clean-fast-success,s820931024g0
900033,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s820931024g0
900034,abl_best_host,1,1.0,0.0,1:clean-fast-success,s2025016814g0
900034,car_best_host,3,1.0,0.0,5:shove-fight,s2025016814g0
900034,tbv2_best_host,3,0.6666666666666666,0.0,6:near-buckle-fight,s2025016814g0
900034,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s2025016814g0
900035,abl_best_host,1,1.0,1.0,3:light-recovery-success,s1887051287g0
900035,car_best_host,3,0.6666666666666666,0.0,5:shove-fight,s1887051287g0
900035,tbv2_best_host,3,0.3333333333333333,0.3333333333333333,6:near-buckle-fight,s1887051287g0
900035,tbv3_ref_host,1,1.0,1.0,3:light-recovery-success,s1887051287g0
900036,abl_best_host,1,1.0,0.0,0:clean-success,s719222618g0
900036,car_best_host,3,1.0,0.0,5:shove-fight,s719222618g0
900036,tbv2_best_host,3,0.6666666666666666,0.0,8:mega-coil,s719222618g0
900036,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s719222618g0
900037,abl_best_host,1,1.0,1.0,4:deep-recovery-success,s609316899g0
900037,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s609316899g0
900037,tbv2_best_host,3,0.3333333333333333,0.3333333333333333,6:near-buckle-fight,s609316899g0
900037,tbv3_ref_host,1,1.0,0.0,5:shove-fight,s609316899g0
900038,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1698373068g0
900038,car_best_host,3,1.0,0.0,5:shove-fight,s1698373068g0
900038,tbv2_best_host,3,1.0,0.0,1:clean-fast-success,s1698373068g0
900038,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s1698373068g0
900039,abl_best_host,1,1.0,1.0,3:light-recovery-success,s202265828g0
900039,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s202265828g0
900039,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s202265828g0
900039,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s202265828g0
900040,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1050921583g0
900041,abl_best_host,1,1.0,0.0,1:clean-fast-success,s432477991g0
900041,car_best_host,3,1.0,0.3333333333333333,2:cathled-sprint-success,s432477991g0
900041,tbv2_best_host,3,1.0,0.3333333333333333,1:clean-fast-success,s432477991g0
900041,tbv3_ref_host,1,1.0,0.0,0:clean-success,s432477991g0
900042,abl_best_host,1,1.0,0.0,1:clean-fast-success,s928082491g0
900042,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s928082491g0
900042,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s928082491g0
900042,tbv3_ref_host,1,0.0,0.0,6:near-buckle-fight,s928082491g0
900043,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1898654069g0
