seed,name,n,p,p_rec,dom,mesh
900037,proc_on_proc,1,0.0,0.0,8:mega-coil,s609316899g0
900038,car_best_on_proc,1,1.0,0.0,1:clean-fast-success,s1698373068g1
900038,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1698373068g1
900039,car_best_on_proc,1,1.0,1.0,4:deep-recovery-success,s202265828g1
900039,proc_on_proc,1,0.0,0.0,8:mega-coil,s202265828g1
900040,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1050921583g1
900040,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1050921583g1
900041,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s432477991g1
900041,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s432477991g1
900042,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s928082491g1
900042,proc_on_proc,1,0.0,0.0,8:mega-coil,s928082491g1
900043,car_best_on_proc,1,1.0,0.0,7:midpath-thrash,s1898654069g0
900043,proc_on_proc,1,0.0,0.0,7:midpath-thrash,s1898654069g0
900044,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s846931706g1
900044,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s846931706g1
900045,car_best_on_proc,1,1.0,1.0,4:deep-recovery-success,s1009872855g1
900045,proc_on_proc,1,0.0,0.0,8:mega-coil,s1009872855g1
900046,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s791572010g1
900046,proc_on_proc,1,0.0,0.0,8:mega-coil,s791572010g1
900047,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s195812797g1
900047,proc_on_proc,1,0.0,0.0,8:mega-coil,s195812797g1
900048,car_best_on_proc,1,0.0,0.0,10:proximal-thrash,s1268534349g1
900048,proc_on_proc,1,0.0,0.0,7:midpath-thrash,s1268534349g1
900049,car_best_on_proc,1,0.0,0.0,8:mega-coil,s710276575g0
900049,proc_on_proc,1,0.0,0.0,8:mega-coil,s710276575g0
