name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
proc_on_proc,1,900031,s47544376g0,601,coiled-stuck,8:mega-coil,0.651,0.912,248,164,0.967,16.667,48.846,1,1,-0.034,779.57,779.696,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900031_s47544376g0_pid247_ep0.npz
car_best_on_proc,1,900033,s820931024g1,601,stuck-midpath,6:near-buckle-fight,0.714,0.803,94,45,0.875,107.937,22.18,1,1,-16.634,44.006,44.484,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900033_s820931024g1_pid288_ep4.npz
proc_on_proc,1,900033,s820931024g1,601,coiled-stuck,8:mega-coil,0.78,0.803,137,306,0.972,44.001,21.729,4,1,-2.749,737.037,738.426,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900033_s820931024g1_pid288_ep4.npz
car_best_on_proc,1,900035,s1887051287g1,601,stuck-midpath,6:near-buckle-fight,0.584,0.589,278,548,0.859,84.171,4.12,1,1,-111.638,28.868,29.026,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900035_s1887051287g1_pid288_ep2.npz
proc_on_proc,1,900035,s1887051287g1,601,coiled-stuck,8:mega-coil,0.418,0.586,143,13,0.905,194.667,46.303,3,1,2.116,798.583,797.448,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900035_s1887051287g1_pid288_ep2.npz
car_best_on_proc,1,900037,s609316899g0,601,stuck-midpath,6:near-buckle-fight,0.634,0.634,126,550,0.884,103.606,2.946,1,1,-79.239,21.878,27.904,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900037_s609316899g0_pid288_ep0.npz
proc_on_proc,1,900037,s609316899g0,601,coiled-stuck,8:mega-coil,0.6,0.634,254,510,0.933,39.109,11.722,2,1,0.126,757.195,756.738,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900037_s609316899g0_pid288_ep0.npz
proc_on_proc,1,900039,s202265828g1,601,coiled-stuck,8:mega-coil,0.474,0.886,274,152,0.938,128.265,70.609,3,1,0.215,796.415,796.068,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900039_s202265828g1_pid329_ep4.npz
car_best_on_proc,1,900042,s928082491g1,601,stuck-midpath,6:near-buckle-fight,0.761,0.761,195,130,0.923,285.779,64.812,1,1,-47.977,43.279,44.291,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900042_s928082491g1_pid329_ep1.npz
proc_on_proc,1,900042,s928082491g1,601,coiled-stuck,8:mega-coil,0.575,0.761,263,545,0.937,71.935,42.098,1,1,1.845,785.001,784.821,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900042_s928082491g1_pid329_ep1.npz
