name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
car_div,1,47,casew025righttopcowmr016L,601,doorstep-stall,3:light-recovery-success,0.961,0.964,523,83,0.93,74.433,12.109,3,1,-78.337,15.104,58.705,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0047_casew025righttopcowmr016L_pid453_ep1.npz
car_early,1,47,casew025righttopcowmr016L,601,coiled-stuck,8:mega-coil,0.56,0.61,77,262,0.902,133.436,13.994,2,1,-406.466,8.901,363.318,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint800346/traj_records/20260920_223638\s0047_casew025righttopcowmr016L_pid452_ep1.npz
abl_copeak,1,48,casew025righttopcowmr021L,601,shove-capped,8:mega-coil,0.35,0.504,449,12,0.867,326.817,119.168,2,1,-19.43,355.66,307.059,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint760544/traj_records/20260920_231806\s0048_casew025righttopcowmr021L_pid616_ep1.npz
car_div,1,48,casew025righttopcowmr021L,601,stuck-proximal,10:proximal-thrash,0.163,0.172,573,329,0.988,31.583,9.107,3,1,-9.773,6.76,5.38,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0048_casew025righttopcowmr021L_pid617_ep1.npz
abl_best,4,55,casem030righttopcowmr003L,601,shove-capped,8:mega-coil,0.907,0.974,478,2,0.865,270.599,131.293,4,1,-36.609,244.862,258.026,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint1005189/traj_records/20260920_211423\s0055_casem030righttopcowmr003L_pid205_ep2.npz
abl_last,1,55,casem030righttopcowmr003L,601,stuck-midpath,7:midpath-thrash,0.36,0.388,33,530,0.897,118.37,31.92,1,1,19.497,7.785,0.69,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_214821\s0055_casem030righttopcowmr003L_pid206_ep2.npz
abl_last,2,55,casem030righttopcowmr003L,601,stuck-midpath,7:midpath-thrash,0.357,0.385,51,531,0.882,116.674,33.915,1,1,18.083,7.517,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_220406\s0055_casem030righttopcowmr003L_pid206_ep2.npz
car_1545,1,55,casem030righttopcowmr003L,601,stuck-midpath,6:near-buckle-fight,0.878,0.887,172,419,0.918,111.632,10.969,2,1,-102.359,11.888,18.901,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1545187/traj_records/20260920_222443\s0055_casem030righttopcowmr003L_pid206_ep2.npz
car_best,1,55,casem030righttopcowmr003L,601,doorstep-stall,6:near-buckle-fight,0.937,0.939,257,217,0.599,207.18,5.921,2,1,-63.104,20.119,38.775,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0055_casem030righttopcowmr003L_pid206_ep2.npz
car_best,2,55,casem030righttopcowmr003L,601,doorstep-stall,6:near-buckle-fight,0.921,0.937,320,292,0.754,246.173,9.855,4,1,-61.59,7.77,19.341,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0055_casem030righttopcowmr003L_pid206_ep2.npz
car_best,4,55,casem030righttopcowmr003L,601,doorstep-stall,6:near-buckle-fight,0.924,0.939,258,264,0.705,180.339,20.753,3,1,-54.648,32.285,39.876,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_203011\s0055_casem030righttopcowmr003L_pid206_ep2.npz
car_div,1,55,casem030righttopcowmr003L,601,fight-escaped-far,7:midpath-thrash,0.742,0.743,599,9,0.862,107.138,20.157,3,0,-64.499,8.341,0.182,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0055_casem030righttopcowmr003L_pid207_ep2.npz
